37,1000,0.1
36,975,0.24
35,950,0.46
34,925,0.6
33,900,0.76
32,875,0.95
31,850,1.17
30,825,1.41
29,800,1.68
28,775,1.98
27,750,2.31
26,700,2.67
25,650,3.06
24,600,3.48
23,550,4.42
22,500,4.94
21,450,5.5
20,400,6.71
19,350,7.38
18,300,8.81
17,250,9.59
16,225,10.42
15,200,11.29
14,175,12.21
13,150,13.19
12,125,15.33
11,100,16.5
10,70,19.05
9,50,20.44
8,30,24.9
7,20,27.9
6,10,32.4
5,7,35.4
4,5,36.9
3,3,41.58
2,2,43.33
1,1,47.46
